Index,ProbabilityOfDefault
0,0.058699371837987825
1,0.05132032097996687
2,0.046993460916580965
3,0.12686722052748434
4,0.10354441256598458
5,0.03947554039068877
6,0.07455093441464414
7,0.0440081733218811
8,0.030406833737339694
9,0.7630490719924852
10,0.07363339920402433
11,0.054282351524345775
12,0.028984137571616043
13,0.09481038775228418
14,0.04319907048698633
15,0.0808745532204113
16,0.03165593808536336
17,0.07395970392522402
18,0.04031489218181934
19,0.06134649939922729
20,0.052316121131453286
21,0.02900663709262481
22,0.03256422811764072
23,0.059932180551013285
24,0.08211108358781
25,0.04714062994284557
26,0.06423119101521041
27,0.02985298273946338
28,0.0857268062458698
29,0.055583112126377454
30,0.05639936988442345
31,0.043113967193448795
32,0.040181189317587754
33,0.045017292118398944
34,0.21670466575977607
35,0.0606780587721316
36,0.0895372711705869
37,0.04952279480046859
38,0.08507705047237929
39,0.06387549356390129
40,0.1330311806208123
41,0.1784247650610037
42,0.06010526959015393
43,0.03973905266585492
44,0.05381003625027179
45,0.02214692309700014
46,0.02186485962510679
47,0.04964996746351664
48,0.058557133655229854
49,0.05478641301045194
50,0.03646271975521456
51,0.01820268877118784
52,0.062290669481762165
53,0.06000907417978975
54,0.07131501513549261
55,0.09240426061198954
56,0.032508184525972365
57,0.14034358955539472
58,0.0647650208394604
59,0.1573786813396801
60,0.008719997118088919
61,0.038982215038611163
62,0.09319272013517538
63,0.03940084219888918
64,0.06777696310694181
65,0.02761495819154436
66,0.050621222192304416
67,0.07447174069158949
68,0.03772316417058326
69,0.5616404318952993
70,0.04464390668117953
71,0.0825397436780987
72,0.024303611252775668
73,0.13265070907592416
74,0.05882135965021686
75,0.03524912506954607
76,0.06072301843908501
77,0.08092084421368209
78,0.036263947258794026
79,0.09600804267519884
80,0.05059194124097149
81,0.04030377580965624
82,0.10461704789211944
83,0.01856907350155524
84,0.05327845828934681
85,0.05711727380467824
86,0.1194269272059247
87,0.05711385188966015
88,0.09929107398196754
89,0.10896636374514655
90,0.09161557220163732
91,0.06281143807529291
92,0.03935616910376467
93,0.05515174668904836
94,0.0343801331507547
95,0.10652820966643262
96,0.03372769225143242
97,0.0725251525569047
98,0.051411331148840916
99,0.09274354304006499
100,0.05034121035886428
101,0.0799979800573361
102,0.03408181110086999
103,0.06939454555986799
104,0.11435046299489544
105,0.10934107776747252
106,0.21101093113447655
107,0.025545261578569928
108,0.03588709033330718
109,0.05648693554890814
110,0.03557185704907664
111,0.08808224212728631
112,0.08652324852187947
113,0.04510975595524479
114,0.08504371515323882
115,0.02983265836734135
116,0.03475061432764814
117,0.08957346387111038
118,0.06442148501767855
119,0.03959121818623371
120,0.04211536879001665
121,0.06544511349584431
122,0.06895292543195364
123,0.05027510493005422
124,0.0552024982458342
125,0.02767542565629135
126,0.017039473708414306
127,0.057393123141676154
128,0.0376507081178006
129,0.07330313088310467
130,0.053257557353261945
131,0.07449056391208884
132,0.0333115537342573
133,0.0869180669293955
134,0.05563920532581927
135,0.024256070248088492
136,0.07871375637050855
137,0.06694805371593891
138,0.03416770711218813
139,0.08852831393752911
140,0.02324493323167168
141,0.04224086028379202
142,0.0226680830800725
143,0.07274543365268811
144,0.10419345976437978
145,0.08393346510589726
146,0.027448247460873428
147,0.13307703922900524
148,0.0428310770185017
149,0.037749231723892905
150,0.031313653585741966
151,0.04250790570918498
152,0.028850017364531685
153,0.03860646148880295
154,0.06115671882242549
155,0.07598004991908346
156,0.09734322552040217
157,0.0333399804612687
158,0.058379158329904174
159,0.06757352180685147
160,0.03217409981340112
161,0.04043500076370728
162,0.05665533372079027
163,0.07538490938901968
164,0.05202111014065308
165,0.05195783116863749
166,0.053927788044106875
167,0.08090051267844561
168,0.14492919651076813
169,0.04526898017676259
170,0.02225720469243465
171,0.03675942536826525
172,0.06557350091273423
173,0.07849552148231272
174,0.06596851874743628
175,0.08203454129478255
176,0.06023896903321415
177,0.042040093076172715
178,0.03619706466415206
179,0.0315890243882877
180,0.15796546086464988
181,0.055451753651537844
182,0.05760774890506694
183,0.026354246901532215
184,0.04938858957942015
185,0.03421388405253429
186,0.04341941681888356
187,0.05504239623530583
188,0.04423684236444101
189,0.06749333727651123
190,0.04941754405509933
191,0.06475146535986445
192,0.04255160954962274
193,0.04122376204602136
194,0.06801270716504522
195,0.06507054689060482
196,0.025782011086443915
197,0.03489049089833043
198,0.04587317099030858
199,0.02889008022416447
200,0.08877082554842307
201,0.024123943029556776
202,0.23048170388693398
203,0.024032712162714024
204,0.025962332509285032
205,0.032152811917477556
206,0.07067238216842017
207,0.0370643119569619
208,0.08635264649205068
209,0.018967487445310596
210,0.10424705357152408
211,0.07754087283674385
212,0.04414686126299972
213,0.05141992798127803
214,0.08048705439642552
215,0.08541632187613982
216,0.018955201235157877
217,0.07350814486968918
218,0.046277496639843915
219,0.028542626186511665
220,0.07685485144995438
221,0.031318862732860595
222,0.04468422242958994
223,0.04582100732657892
224,0.037541115788937034
225,0.09084236119629914
226,0.04994057762137769
227,0.042809354910840584
228,0.06709457183602263
229,0.266545039256247
230,0.2442300577580225
231,0.031680925091242
232,0.029724892754831308
233,0.027686215755654733
234,0.02734907877094368
235,0.13730493175416733
236,0.028679139020451612
237,0.020214283535718944
238,0.09164051815309686
239,0.06641511057478512
240,0.05734504863179716
241,0.04430804989202921
242,0.04034777398420775
243,0.03338041678105762
244,0.08831551292471193
245,0.024060789747525305
246,0.07100139172455865
247,0.028076493438732034
248,0.0405353206567738
249,0.10979954929973652
250,0.03221471822547872
251,0.04042440505472628
252,0.04077956006122702
253,0.06923744972751882
254,0.01714495359646336
255,0.04933301065839694
256,0.08089033083685766
257,0.09643020346480634
258,0.04145199350711544
259,0.1316366777208475
260,0.06280044956259027
261,0.06906370352360132
262,0.022499487592322807
263,0.08056195344006706
264,0.050406224481927636
265,0.06738239105071753
266,0.11167986448284802
267,0.0759450271556281
268,0.03131876493898681
269,0.03884991855175542
270,0.027469387231912168
271,0.062118702290556216
272,0.0263884255693937
273,0.03728754944308963
274,0.025058814637571286
275,0.0669775574324572
276,0.0268716692011675
277,0.052589178664014045
278,0.05377411944128668
279,0.07598211551702795
280,0.46390683254806325
281,0.061677347168029154
282,0.07585392535231068
283,0.03243473947539232
284,0.03946811925380822
285,0.0642031431571231
286,0.08341581040141226
287,0.08913220450337324
288,0.05428155140896978
289,0.05103111336167308
290,0.10830722771170767
291,0.023158261404174804
292,0.08699788691007994
293,0.05013371940943499
294,0.022233179101510844
295,0.08474597749596731
296,0.03147894946650976
297,0.040307351796860826
298,0.027205267583562575
299,0.029924839724068016
300,0.0920012218585247
301,0.03852417125240773
302,0.02508354089543499
303,0.02852640265959887
304,0.17425103595286068
305,0.04966778911298617
306,0.014271667877023457
307,0.7681509256057575
308,0.18689180740102065
309,0.0749321484481418
310,0.32067904969741423
311,0.05159969953286441
312,0.15940135109145218
313,0.023894255411822555
314,0.08516948910966314
315,0.08157168607483446
316,0.15186680861731447
317,0.040547993930795265
318,0.032217289594214576
319,0.05605918758536733
320,0.10756821070863676
321,0.05542454596505078
322,0.06410633051927601
323,0.07605937430265694
324,0.09514394480583852
325,0.026185871271454653
326,0.026659445481583388
327,0.034487306392625136
328,0.08011731014247332
329,0.03428396631500592
330,0.08430303677023751
331,0.05090655278888863
332,0.078469915817273
333,0.0388815179292164
334,0.04938937975047754
335,0.05571224172707468
336,0.08229556167523572
337,0.019477903573993035
338,0.054113338911012644
339,0.08322361329250387
340,0.031100879722284758
341,0.04233010796829097
342,0.07102621095769653
343,0.042965441375666734
344,0.024097644789723822
345,0.035277331958204476
346,0.24218045363362437
347,0.09213145873565602
348,0.05666879532509419
349,0.052514729894331855
350,0.05673833335064334
351,0.04640843479915591
352,0.030212367509623302
353,0.06731421779026966
354,0.050180005969490564
355,0.03468419593123515
356,0.058515108577821225
357,0.02691040944378499
358,0.03161315773678309
359,0.07918020135643637
360,0.0606446721050426
361,0.06871074866213465
362,0.03997027895819522
363,0.06882959244370494
364,0.1669990512337255
365,0.13357387713418803
366,0.10260350294912816
367,0.04223102970445674
368,0.03361444616222813
369,0.09492422235980616
370,0.04917001021031337
371,0.07761411472831023
372,0.04556457606083622
373,0.06008760102010907
374,0.04636704394691425
375,0.018624151687910862
376,0.0980709165717937
377,0.026349084880511825
378,0.05160064257416867
379,0.05220100814754417
380,0.0634314764948683
381,0.03335382668737542
382,0.016030957733027117
383,0.14852736501081873
384,0.030225319839158618
385,0.04012145729951006
386,0.03349529183579219
387,0.0760940226359909
388,0.029830313524888186
389,0.03930266741247198
390,0.033681952632248255
391,0.03499888857172063
392,0.02711875890523489
393,0.09909987628625833
394,0.018785270460206113
395,0.028992402109635704
396,0.0314436341386747
397,0.06403911870829666
398,0.0291901143041325
399,0.06504730989699097
400,0.02704791199589335
401,0.023340198443463078
402,0.04442406728119772
403,0.028155257057972574
404,0.0016896690040830613
405,0.02773389996812572
406,0.03854734658183422
407,0.07576316663628814
408,0.08591241266545813
409,0.07473884381533083
410,0.08522914927242431
411,0.042938488957659504
412,0.072574826519157
413,0.05584449159377622
414,0.04031270303417504
415,0.08935928231468457
416,0.06175274339664458
417,0.07450841655251078
418,0.028933037787212092
419,0.08614215796553443
420,0.026451271335255436
421,0.03990074851419501
422,0.09274646451497658
423,0.028133299176151667
424,0.034018523243293165
425,0.01661085843698592
426,0.024573239846643412
427,0.03469498440120814
428,0.07194576787304734
429,0.0462508674082959
430,0.2005314319593025
431,0.03028432784577999
432,0.07212282053226796
433,0.05125412119314541
434,0.04957082330084624
435,0.07653949461495622
436,0.09854207726543639
437,0.10855272358877799
438,0.036930149701559715
439,0.09992072010993369
440,0.054615687840858254
441,0.0783937378997551
442,0.08090283641236982
443,0.005412275965417169
444,0.11020305449949783
445,0.19296016730048288
446,0.02264662006848209
447,0.12537842693613813
448,0.0849935204580147
449,0.02812305489119829
450,0.04444181130764346
451,0.03625152468581255
452,0.09713057281524203
453,0.07305506287527558
454,0.060212855089266035
455,0.07845006806971878
456,0.04647238830048435
457,0.06233358013464238
458,0.06110340297864946
459,0.056508527288109935
460,0.07141580352388009
461,0.08565526441952843
462,0.03898334517286818
463,0.06354147203222865
464,0.054482512517952816
465,0.03509493357941651
466,0.036851842668621806
467,0.08751609544763912
468,0.026994935265548962
469,0.14728506077453743
470,0.021267885528644247
471,0.046039307030034796
472,0.19607509604047513
473,0.07632873199405237
474,0.0748045101474296
475,0.02737489182137814
476,0.036992762501641054
477,0.04143948905112847
478,0.030562590591319123
479,0.025570614140674672
480,0.05495262612929862
481,0.01484735484158932
482,0.032846481828543224
483,0.05357121088602026
484,0.029433391724630466
485,0.14738962132086492
486,0.019963151849591076
487,0.04555303859407989
488,0.05506744891250422
489,0.018128252784113577
490,0.030011912551841703
491,0.06134149488506133
492,0.028476451291251745
493,0.041695181886112716
494,0.03940897680058298
495,0.04961000436090707
496,0.038781490184605194
497,0.07197462962475351
498,0.14870577105037563
499,0.0410186497840218
500,0.09080700510039487
501,0.05587473920295908
